Frame,min_val,max_val
frame_001.png,-50217392.0,150453648.0
frame_002.png,-49838380.0,148818960.0
frame_003.png,-49600552.0,148169088.0
frame_004.png,-50912292.0,149141696.0
frame_005.png,-52518236.0,148900368.0
frame_006.png,-53530456.0,148531920.0
frame_007.png,-54302716.0,149161408.0
frame_008.png,-54228632.0,150340576.0
frame_009.png,-53756736.0,152344032.0
frame_010.png,-52250800.0,154689680.0
frame_011.png,-51126244.0,156650304.0
frame_012.png,-50676240.0,158554224.0
frame_013.png,-50517776.0,157673904.0
frame_014.png,-50547580.0,155716192.0
frame_015.png,-50047460.0,152496672.0
frame_016.png,-49582404.0,149861104.0
frame_017.png,-49520488.0,148138944.0
frame_018.png,-50725668.0,146809888.0
frame_019.png,-51488280.0,144402176.0
frame_020.png,-52906612.0,144200384.0
frame_021.png,-53743892.0,144242160.0
frame_022.png,-53555696.0,145608400.0
frame_023.png,-52727796.0,146830928.0
frame_024.png,-52254916.0,148308640.0
frame_025.png,-51345336.0,148968384.0
frame_026.png,-50528568.0,148873520.0
frame_027.png,-50204032.0,148233472.0
frame_028.png,-49941944.0,147111536.0
frame_029.png,-49979956.0,145143856.0
frame_030.png,-49507204.0,142893552.0
frame_031.png,-49531516.0,141740016.0
frame_032.png,-49041584.0,139640000.0
frame_033.png,-48744036.0,138932064.0
frame_034.png,-49167104.0,137993216.0
frame_035.png,-50842012.0,138015168.0
frame_036.png,-52026932.0,136217936.0
frame_037.png,-52906024.0,132242672.0
frame_038.png,-53088264.0,125441592.0
frame_039.png,-53940932.0,120990488.0
frame_040.png,-53789196.0,116250936.0
frame_041.png,-53621312.0,111348408.0
frame_042.png,-52914384.0,104787584.0
frame_043.png,-51729228.0,98355536.0
frame_044.png,-50932580.0,93057968.0
frame_045.png,-50911296.0,89119632.0
frame_046.png,-51965116.0,86106456.0
frame_047.png,-50330164.0,81015664.0
frame_048.png,-50857840.0,77601968.0
frame_049.png,-50883784.0,73947856.0
frame_050.png,-50994504.0,70736816.0
frame_051.png,-50880116.0,66215200.0
frame_052.png,-51632956.0,62156916.0
frame_053.png,-49968644.0,58738108.0
frame_054.png,-49642464.0,56010876.0
frame_055.png,-48876604.0,52873144.0
frame_056.png,-49090652.0,49579080.0
frame_057.png,-47912464.0,45851216.0
frame_058.png,-45789220.0,42101844.0
frame_059.png,-45651444.0,39213160.0
frame_060.png,-44560544.0,36210640.0
frame_061.png,-43510924.0,33210580.0
frame_062.png,-41908732.0,30749000.0
frame_063.png,-41408112.0,28236562.0
frame_064.png,-40878980.0,26190378.0
frame_065.png,-41132724.0,24256262.0
frame_066.png,-40495964.0,22439184.0
frame_067.png,-40297368.0,20779844.0
frame_068.png,-39085188.0,19503054.0
frame_069.png,-38397712.0,18202124.0
frame_070.png,-37477324.0,16656801.0
frame_071.png,-37161032.0,15920798.0
frame_072.png,-36386000.0,15944585.0
frame_073.png,-35623676.0,15939914.0
frame_074.png,-34837800.0,15952348.0
frame_075.png,-33564440.0,15986597.0
frame_076.png,-32793862.0,15958778.0
frame_077.png,-31764446.0,15821949.0
frame_078.png,-30926258.0,15855988.0
frame_079.png,-29518072.0,16056374.0
frame_080.png,-29020896.0,16054824.0
frame_081.png,-28248972.0,16019831.0
frame_082.png,-27081438.0,16094595.0
frame_083.png,-25733146.0,16140408.0
frame_084.png,-23894924.0,16529000.0
frame_085.png,-22835336.0,17418868.0
frame_086.png,-21012332.0,21587754.0
frame_087.png,-18009528.0,28118062.0
frame_088.png,-13635032.0,35795140.0
frame_089.png,-8131233.5,45023296.0
frame_090.png,-4719427.0,53964328.0
frame_091.png,-7939696.5,64844844.0
frame_092.png,-11694020.0,76402144.0
frame_093.png,-13467567.0,87284440.0
frame_094.png,-15473376.0,96746792.0
frame_095.png,-16734575.0,101521400.0
frame_096.png,-18305440.0,105457848.0
frame_097.png,-19580114.0,108309592.0
frame_098.png,-20757904.0,110317552.0
frame_099.png,-21925380.0,111763416.0
frame_100.png,-23071480.0,111850440.0
frame_101.png,-23758422.0,111339944.0
frame_102.png,-24874822.0,111894152.0
frame_103.png,-27245506.0,113313360.0
frame_104.png,-29487860.0,114034216.0
frame_105.png,-31968406.0,113931272.0
frame_106.png,-33921920.0,114174440.0
frame_107.png,-34857988.0,115099248.0
frame_108.png,-35625408.0,116666200.0
frame_109.png,-35686216.0,118168320.0
frame_110.png,-36044052.0,119612096.0
frame_111.png,-36445912.0,120226992.0
frame_112.png,-36780940.0,120300792.0
frame_113.png,-36732728.0,120208432.0
frame_114.png,-36834856.0,119980416.0
frame_115.png,-37208152.0,119943288.0
frame_116.png,-39190992.0,121763192.0
frame_117.png,-41115104.0,123338816.0
frame_118.png,-42380040.0,124371856.0
frame_119.png,-42685292.0,124589216.0
frame_120.png,-42848436.0,125099200.0
frame_121.png,-42688168.0,126287432.0
frame_122.png,-42168444.0,128014016.0
frame_123.png,-41611940.0,129786840.0
frame_124.png,-41301996.0,130966208.0
frame_125.png,-41158548.0,131945824.0
frame_126.png,-41646268.0,131901712.0
frame_127.png,-41533984.0,130427464.0
frame_128.png,-41721004.0,129195680.0
frame_129.png,-41643524.0,127960256.0
frame_130.png,-42957356.0,128422480.0
frame_131.png,-44259116.0,129001544.0
frame_132.png,-45496320.0,129279640.0
frame_133.png,-46162568.0,129593504.0
frame_134.png,-46877504.0,130569624.0
frame_135.png,-46917612.0,132672256.0
frame_136.png,-46631244.0,134951440.0
frame_137.png,-45888092.0,136457456.0
frame_138.png,-45858368.0,137618064.0
frame_139.png,-46022780.0,138371520.0
frame_140.png,-45757376.0,137614896.0
frame_141.png,-46392288.0,138064368.0
frame_142.png,-45348448.0,135921840.0
frame_143.png,-44722520.0,134920160.0
frame_144.png,-46191116.0,135792448.0
frame_145.png,-47622492.0,136950160.0
frame_146.png,-47903904.0,136881104.0
frame_147.png,-47891004.0,136090080.0
frame_148.png,-47623340.0,135959232.0
frame_149.png,-46853720.0,136991376.0
frame_150.png,-46380164.0,139040992.0
frame_151.png,-45493352.0,140791040.0
frame_152.png,-45016776.0,141542784.0
frame_153.png,-44327764.0,141117760.0
frame_154.png,-44394132.0,141257408.0
frame_155.png,-44165432.0,140690800.0
frame_156.png,-44265252.0,140080432.0
frame_157.png,-44302316.0,138848928.0
frame_158.png,-44406600.0,138156624.0
frame_159.png,-43841036.0,137189280.0
frame_160.png,-43418872.0,136338944.0
frame_161.png,-43391136.0,136704784.0
frame_162.png,-43737380.0,137002704.0
frame_163.png,-43564672.0,137271072.0
frame_164.png,-43730456.0,137541552.0
frame_165.png,-44664556.0,138265024.0
frame_166.png,-44446052.0,137207856.0
frame_167.png,-44307740.0,137372016.0
frame_168.png,-43631268.0,137080800.0
frame_169.png,-43159808.0,137413616.0
frame_170.png,-42871384.0,137599664.0
frame_171.png,-42353984.0,137237952.0
frame_172.png,-42126620.0,137017232.0
frame_173.png,-42329868.0,137749200.0
frame_174.png,-42178684.0,137610688.0
frame_175.png,-42043476.0,137745088.0
frame_176.png,-42234252.0,138376704.0
frame_177.png,-41786388.0,137550224.0
frame_178.png,-41165868.0,136905840.0
frame_179.png,-40774604.0,136691328.0
frame_180.png,-40198960.0,136520512.0
frame_181.png,-40369884.0,136906256.0
frame_182.png,-40840124.0,137367856.0
frame_183.png,-41739532.0,137838912.0
frame_184.png,-42421292.0,138099696.0
frame_185.png,-42249276.0,136880096.0
frame_186.png,-42187872.0,136666496.0
frame_187.png,-42281284.0,136451280.0
frame_188.png,-42480696.0,136694016.0
frame_189.png,-42562016.0,137297568.0
frame_190.png,-42331280.0,136996608.0
frame_191.png,-42429316.0,137854912.0
frame_192.png,-42723540.0,138780480.0
frame_193.png,-43084712.0,140310752.0
frame_194.png,-42486092.0,139840848.0
frame_195.png,-42779332.0,140411456.0
frame_196.png,-42753432.0,140335888.0
frame_197.png,-42747448.0,140185120.0
frame_198.png,-42407344.0,139073536.0
frame_199.png,-43070972.0,138991968.0
frame_200.png,-43196276.0,138572016.0
frame_201.png,-43278388.0,138227440.0
frame_202.png,-43062920.0,137794240.0
frame_203.png,-43180524.0,137749632.0
frame_204.png,-42223812.0,136619440.0
frame_205.png,-41867932.0,136180176.0
frame_206.png,-41567396.0,135554448.0
frame_207.png,-42041060.0,135363776.0
frame_208.png,-42325980.0,135989936.0
frame_209.png,-42376664.0,136080704.0
frame_210.png,-42497112.0,136365680.0
frame_211.png,-42529232.0,136424416.0
frame_212.png,-42626248.0,136685264.0
frame_213.png,-42696612.0,137017776.0
frame_214.png,-42780076.0,137235040.0
frame_215.png,-42305120.0,135554064.0
frame_216.png,-42945052.0,135034816.0
frame_217.png,-42724564.0,131231832.0
frame_218.png,-43191728.0,129751464.0
frame_219.png,-43156060.0,129727544.0
frame_220.png,-42938256.0,129506544.0
frame_221.png,-42888724.0,129194840.0
frame_222.png,-42976780.0,130091208.0
frame_223.png,-43275044.0,131563448.0
frame_224.png,-42770472.0,131630432.0
frame_225.png,-43442648.0,133886728.0
frame_226.png,-43309304.0,134649824.0
frame_227.png,-43307912.0,135922592.0
frame_228.png,-43342444.0,138452528.0
frame_229.png,-43680416.0,140234048.0
frame_230.png,-43666208.0,139956416.0
frame_231.png,-43692608.0,140033296.0
frame_232.png,-43809764.0,140503024.0
frame_233.png,-44681072.0,142218896.0
frame_234.png,-44575928.0,142387008.0
frame_235.png,-44153136.0,142615040.0
frame_236.png,-45951668.0,145640368.0
frame_237.png,-47398116.0,147778096.0
frame_238.png,-47815224.0,150006880.0
frame_239.png,-48057568.0,150174256.0
frame_240.png,-49276856.0,150163904.0
frame_241.png,-50479828.0,150335488.0
frame_242.png,-51097836.0,150776784.0
frame_243.png,-51633068.0,150403472.0
frame_244.png,-52568724.0,148708896.0
frame_245.png,-52925120.0,144431648.0
frame_246.png,-53892732.0,140006208.0
frame_247.png,-53834480.0,134420336.0
frame_248.png,-54351332.0,129334552.0
frame_249.png,-54251956.0,121952168.0
frame_250.png,-54002180.0,114635016.0
frame_251.png,-55255508.0,109234616.0
frame_252.png,-54889784.0,101671584.0
frame_253.png,-56628380.0,94988240.0
frame_254.png,-56782644.0,88528960.0
frame_255.png,-55594348.0,82493736.0
frame_256.png,-53798768.0,76368024.0
frame_257.png,-53167124.0,71042624.0
frame_258.png,-50131984.0,63094408.0
frame_259.png,-48853088.0,55697144.0
frame_260.png,-46745780.0,49181940.0
frame_261.png,-46246460.0,44054736.0
frame_262.png,-45341424.0,39255308.0
frame_263.png,-45687192.0,34527448.0
frame_264.png,-43575160.0,29765902.0
frame_265.png,-41493876.0,25039842.0
frame_266.png,-39865000.0,20937870.0
frame_267.png,-38291532.0,16759992.0
frame_268.png,-37189464.0,16667417.0
frame_269.png,-34762048.0,16567664.0
frame_270.png,-31484904.0,16485110.0
frame_271.png,-26378610.0,17675360.0
frame_272.png,-21680396.0,23417098.0
frame_273.png,-16933250.0,31480430.0
frame_274.png,-12235421.0,40084056.0
frame_275.png,-8104360.5,49644496.0
frame_276.png,-6823588.0,63963356.0
