Frame,min_val,max_val
frame_0001.png,-66592484.0,604156480.0
frame_0002.png,-62064408.0,600984000.0
frame_0003.png,-63017292.0,565407296.0
frame_0004.png,-68885896.0,486194720.0
frame_0005.png,-75372368.0,399140128.0
frame_0006.png,-78757304.0,372891232.0
frame_0007.png,-76382296.0,367016544.0
frame_0008.png,-76709448.0,359709568.0
frame_0009.png,-77758872.0,350815712.0
frame_0010.png,-76137568.0,347849760.0
frame_0011.png,-75946000.0,346035744.0
frame_0012.png,-73986480.0,345441408.0
frame_0013.png,-66507716.0,347180608.0
frame_0014.png,-57985448.0,352067456.0
frame_0015.png,-52823964.0,355760704.0
frame_0016.png,-40438304.0,358859360.0
frame_0017.png,-22411230.0,360577600.0
frame_0018.png,-10690322.0,362175200.0
frame_0019.png,-11116301.0,363880256.0
frame_0020.png,-11499738.0,363897056.0
frame_0021.png,-11584644.0,364573152.0
frame_0022.png,-12238112.0,365324128.0
frame_0023.png,-12613028.0,366016096.0
frame_0024.png,-12687784.0,366489856.0
frame_0025.png,-13065872.0,366840640.0
frame_0026.png,-13230348.0,367006432.0
frame_0027.png,-13756142.0,367736128.0
frame_0028.png,-14856876.0,367729568.0
frame_0029.png,-14748713.0,368798912.0
frame_0030.png,-15610310.0,367791968.0
frame_0031.png,-15604018.0,368857056.0
frame_0032.png,-16795766.0,370616608.0
frame_0033.png,-17356492.0,371012640.0
frame_0034.png,-18882902.0,370116224.0
frame_0035.png,-19256126.0,371044160.0
frame_0036.png,-19811472.0,370705216.0
frame_0037.png,-19769560.0,370488960.0
frame_0038.png,-20368080.0,370612096.0
frame_0039.png,-20225902.0,370661440.0
frame_0040.png,-20127326.0,371113376.0
frame_0041.png,-17431538.0,371613920.0
frame_0042.png,-15472800.0,371546880.0
frame_0043.png,-13326550.0,372000256.0
frame_0044.png,-11590217.0,373001536.0
frame_0045.png,-11261014.0,372545472.0
frame_0046.png,-11335545.0,371372672.0
frame_0047.png,-26176978.0,370106848.0
frame_0048.png,-52167264.0,367086528.0
frame_0049.png,-55050268.0,362767872.0
frame_0050.png,-59200508.0,370190944.0
frame_0051.png,-63453528.0,378978336.0
frame_0052.png,-67225616.0,386268928.0
frame_0053.png,-66128432.0,499456640.0
frame_0054.png,-59901292.0,561476480.0
frame_0055.png,-55823848.0,589731200.0
frame_0056.png,-55820092.0,611130048.0
frame_0057.png,-71357920.0,631701696.0
frame_0058.png,-81766208.0,655765760.0
frame_0059.png,-79074136.0,679342464.0
frame_0060.png,-78223000.0,706388352.0
frame_0061.png,-76088760.0,731390976.0
frame_0062.png,-74304784.0,760473152.0
frame_0063.png,-71981320.0,788394944.0
frame_0064.png,-69789288.0,811558528.0
frame_0065.png,-70308888.0,833256192.0
frame_0066.png,-69958128.0,849506432.0
frame_0067.png,-74676232.0,861904704.0
frame_0068.png,-81361520.0,854852800.0
frame_0069.png,-93003528.0,831200000.0
frame_0070.png,-97793272.0,814093056.0
frame_0071.png,-98656920.0,805414464.0
frame_0072.png,-95947984.0,794404864.0
frame_0073.png,-93904080.0,783349120.0
frame_0074.png,-94979768.0,775595520.0
frame_0075.png,-95915592.0,773239104.0
frame_0076.png,-101120456.0,766435136.0
frame_0077.png,-88073672.0,757031552.0
frame_0078.png,-52204136.0,742751744.0
frame_0079.png,-57977776.0,722186944.0
frame_0080.png,-69465064.0,705574848.0
frame_0081.png,-72615904.0,701047808.0
frame_0082.png,-60687020.0,670473344.0
frame_0083.png,-55016036.0,566072832.0
frame_0084.png,-59707452.0,445900384.0
frame_0085.png,-68448512.0,442478976.0
frame_0086.png,-70808192.0,440723168.0
frame_0087.png,-66887516.0,440533344.0
frame_0088.png,-73726152.0,438423584.0
frame_0089.png,-75796616.0,436020864.0
frame_0090.png,-69358168.0,435035328.0
frame_0091.png,-62248816.0,431747840.0
frame_0092.png,-37215392.0,427344608.0
frame_0093.png,-18400090.0,426739648.0
frame_0094.png,-18505146.0,426774208.0
frame_0095.png,-18531458.0,422897824.0
frame_0096.png,-18591652.0,416871008.0
